"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 25 16:04:33 GMT 2023","Wed Jan 25 16:04:33 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution with running state","Query execution validator with query execution with running state",""
"passed","Wed Jan 25 16:04:39 GMT 2023","Wed Jan 25 16:04:39 GMT 2023","3","","Tax getter","","Tax getter","Tax getter with no Textract value","Tax getter with no Textract value",""
"passed","Wed Jan 25 16:04:46 GMT 2023","Wed Jan 25 16:04:46 GMT 2023","0","","Number from money text getter","","Number from money text getter","Number from money text getter with 10,000.00","Number from money text getter with 10,000.00",""
"passed","Wed Jan 25 16:04:35 GMT 2023","Wed Jan 25 16:04:35 GMT 2023","1","","Standardised invoice storer","","Standardised invoice storer","Standardised invoice storer with no storage records","Standardised invoice storer with no storage records",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","1","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched line item field not object","S3 Textract data fetcher with fetched line item field not object",""
"passed","Wed Jan 25 16:04:39 GMT 2023","Wed Jan 25 16:04:39 GMT 2023","1","","Due date getter","","Due date getter","Due date getter with date parsing error","Due date getter with date parsing error",""
"passed","Wed Jan 25 16:04:35 GMT 2023","Wed Jan 25 16:04:35 GMT 2023","2","","Standardised invoice storer","","Standardised invoice storer","Standardised invoice storer with Textract fetch error","Standardised invoice storer with Textract fetch error",""
"passed","Wed Jan 25 16:04:44 GMT 2023","Wed Jan 25 16:04:44 GMT 2023","1","","Quantity getter","","Quantity getter","Quantity getter with value 10.000","Quantity getter with value 10.000",""
"passed","Wed Jan 25 16:04:36 GMT 2023","Wed Jan 25 16:04:36 GMT 2023","0","","src/handlers/store-transactions/handler.test.ts","","src/handlers/store-transactions/handler.test.ts","Transactions folder name not defined","Transactions folder name not defined",""
"passed","Wed Jan 25 16:04:32 GMT 2023","Wed Jan 25 16:04:32 GMT 2023","4","","Extract handler test","","Extract handler test","Extract handler with valid event record calls textract function startExpenseAnalysis","Extract handler with valid event record calls textract function startExpenseAnalysis",""
"passed","Wed Jan 25 16:04:33 GMT 2023","Wed Jan 25 16:04:33 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution with failure state","Query execution validator with query execution with failure state",""
"passed","Wed Jan 25 16:04:44 GMT 2023","Wed Jan 25 16:04:44 GMT 2023","16","","Standardised date text getter","","Standardised date text getter","Standardised date text getter with invalid format","Standardised date text getter with invalid format",""
"passed","Wed Jan 25 16:04:35 GMT 2023","Wed Jan 25 16:04:35 GMT 2023","0","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message without valid document location","Queued expense analysis notification data getter with record body message without valid document location",""
"passed","Wed Jan 25 16:04:48 GMT 2023","Wed Jan 25 16:04:48 GMT 2023","0","","Valid Textract status type guard","","Valid Textract status type guard","Valid Textract status type guard with invalid status","Valid Textract status type guard with invalid status",""
"passed","Wed Jan 25 16:04:31 GMT 2023","Wed Jan 25 16:04:31 GMT 2023","1","","S3 event records getter tests","","S3 event records getter tests","S3 event records getter with body JSON not object","S3 event records getter with body JSON not object",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","0","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched line items defined but not array","S3 Textract data fetcher with fetched line items defined but not array",""
"passed","Wed Jan 25 16:04:33 GMT 2023","Wed Jan 25 16:04:33 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution with successful state","Query execution validator with query execution with successful state",""
"passed","Wed Jan 25 16:04:37 GMT 2023","Wed Jan 25 16:04:37 GMT 2023","1","","Store Standardised Invoices handler tests","","Store Standardised Invoices handler tests","Store Standardised Invoices handler with no destination folder set","Store Standardised Invoices handler with no destination folder set",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","0","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched summary field type defined but not object","S3 Textract data fetcher with fetched summary field type defined but not object",""
"passed","Wed Jan 25 16:04:33 GMT 2023","Wed Jan 25 16:04:33 GMT 2023","12","","Query execution validator","","Query execution validator","Query execution validator with query execution retrieval error","Query execution validator with query execution retrieval error",""
"passed","Wed Jan 25 16:04:39 GMT 2023","Wed Jan 25 16:04:39 GMT 2023","1","","Subtotal getter","","Subtotal getter","Subtotal getter with money parsing error","Subtotal getter with money parsing error",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","1","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched line item field value detection defined but not object","S3 Textract data fetcher with fetched line item field value detection defined but not object",""
"passed","Wed Jan 25 16:04:43 GMT 2023","Wed Jan 25 16:04:43 GMT 2023","1","","Handler test for integration test support function","","Handler test for integration test support function","Input event with listS3Objects command calls listS3Objects function with given parameters","Input event with listS3Objects command calls listS3Objects function with given parameters",""
"passed","Wed Jan 25 16:04:46 GMT 2023","Wed Jan 25 16:04:46 GMT 2023","1","","Number from money text getter","","Number from money text getter","Number from money text getter with £ 10000.00","Number from money text getter with £ 10000.00",""
"passed","Wed Jan 25 16:04:30 GMT 2023","Wed Jan 25 16:04:30 GMT 2023","2","","Custom Athena view resource handler","","Custom Athena view resource handler","Custom Athena view resource handler with request type ""Create""","Custom Athena view resource handler with request type ""Create""",""
"passed","Wed Jan 25 16:04:44 GMT 2023","Wed Jan 25 16:04:44 GMT 2023","2","","src/shared/utils/date-utils.test.ts","","src/shared/utils/date-utils.test.ts","Date is formatted to yyyy-mm-dd with a month that is single digits","Date is formatted to yyyy-mm-dd with a month that is single digits",""
"passed","Wed Jan 25 16:04:43 GMT 2023","Wed Jan 25 16:04:43 GMT 2023","7","","Handler test for integration test support function","","Handler test for integration test support function","Input event with getS3Object command calls getS3Object function with given parameters","Input event with getS3Object command calls getS3Object function with given parameters",""
"passed","Wed Jan 25 16:04:40 GMT 2023","Wed Jan 25 16:04:40 GMT 2023","1","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with single warning with pages and no code","Textract warnings logger with single warning with pages and no code",""
"passed","Wed Jan 25 16:04:40 GMT 2023","Wed Jan 25 16:04:40 GMT 2023","2","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with single warning with no code or pages","Textract warnings logger with single warning with no code or pages",""
"passed","Wed Jan 25 16:04:44 GMT 2023","Wed Jan 25 16:04:44 GMT 2023","1","","Standardised date text getter","","Standardised date text getter","Standardised date text getter with nonexistent month","Standardised date text getter with nonexistent month",""
"passed","Wed Jan 25 16:04:39 GMT 2023","Wed Jan 25 16:04:39 GMT 2023","1","","Price getter","","Price getter","Price getter with money parsing error","Price getter with money parsing error",""
"passed","Wed Jan 25 16:04:36 GMT 2023","Wed Jan 25 16:04:36 GMT 2023","3","","src/handlers/store-transactions/handler.test.ts","","src/handlers/store-transactions/handler.test.ts","Store Transactions handler with some valid events calls s3","Store Transactions handler with some valid events calls s3",""
"passed","Wed Jan 25 16:04:31 GMT 2023","Wed Jan 25 16:04:31 GMT 2023","16","","src/handlers/clean/handler.test.ts","","src/handlers/clean/handler.test.ts","Clean handler with event whose records have invalid bodies","Clean handler with event whose records have invalid bodies",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","1","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched line item groups not array","S3 Textract data fetcher with fetched line item groups not array",""
"passed","Wed Jan 25 16:04:29 GMT 2023","Wed Jan 25 16:04:29 GMT 2023","0","","S3 Textract data fetcher","","S3 Textract data fetcher","S3 Textract data fetcher with fetched JSON array of non-objects","S3 Textract data fetcher with fetched JSON array of non-objects",""
