"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 18 16:14:39 GMT 2023","Wed Jan 18 16:14:39 GMT 2023","5","","Extract handler test","","Extract handler test","Extract handler with valid event record calls textract function startExpenseAnalysis","Extract handler with valid event record calls textract function startExpenseAnalysis",""
"passed","Wed Jan 18 16:14:39 GMT 2023","Wed Jan 18 16:14:39 GMT 2023","1","","Extract handler test","","Extract handler test","Extract handler with event record that has invalid S3 event in body","Extract handler with event record that has invalid S3 event in body",""
"passed","Wed Jan 18 16:14:41 GMT 2023","Wed Jan 18 16:14:41 GMT 2023","0","","Athena view resource data getter","","Athena view resource data getter","Athena view resource data getter with `View.Query` not string","Athena view resource data getter with `View.Query` not string",""
"passed","Wed Jan 18 16:14:42 GMT 2023","Wed Jan 18 16:14:42 GMT 2023","2","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Move object to folder","Move object to folder",""
"passed","Wed Jan 18 16:14:46 GMT 2023","Wed Jan 18 16:14:46 GMT 2023","2","","src/shared/utils/date-utils.test.ts","","src/shared/utils/date-utils.test.ts","Date is formatted to yyyy-mm-dd with a month that is single digits","Date is formatted to yyyy-mm-dd with a month that is single digits",""
"passed","Wed Jan 18 16:14:43 GMT 2023","Wed Jan 18 16:14:43 GMT 2023","1","","Expense documents fetcher","","Expense documents fetcher","Expense documents fetcher with response with two pages of documents","Expense documents fetcher with response with two pages of documents",""
"passed","Wed Jan 18 16:14:43 GMT 2023","Wed Jan 18 16:14:43 GMT 2023","1","","src/handlers/store-transactions/handler.test.ts","","src/handlers/store-transactions/handler.test.ts","Failing puts to S3","Failing puts to S3",""
"passed","Wed Jan 18 16:14:37 GMT 2023","Wed Jan 18 16:14:37 GMT 2023","0","","src/handlers/custom-s3-object-resource/handler.test.ts","","src/handlers/custom-s3-object-resource/handler.test.ts","Custom S3 object resource handler with request type ""Update"" and no `S3Object.Body`","Custom S3 object resource handler with request type ""Update"" and no `S3Object.Body`",""
"passed","Wed Jan 18 16:14:37 GMT 2023","Wed Jan 18 16:14:37 GMT 2023","1","","src/shared/utils/custom-resource-utils.test.ts","","src/shared/utils/custom-resource-utils.test.ts","Result sender with no error","Result sender with no error",""
"passed","Wed Jan 18 16:14:42 GMT 2023","Wed Jan 18 16:14:42 GMT 2023","2","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Move object with copy callback error","Move object with copy callback error",""
