"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 20 13:08:15 GMT 2023","Fri Jan 20 13:08:15 GMT 2023","0","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message document location without valid file name","Queued expense analysis notification data getter with record body message document location without valid file name",""
"passed","Fri Jan 20 13:08:18 GMT 2023","Fri Jan 20 13:08:18 GMT 2023","2","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with empty array","Textract warnings logger with empty array",""
"passed","Fri Jan 20 13:08:18 GMT 2023","Fri Jan 20 13:08:18 GMT 2023","0","","Filter handler tests","","Filter handler tests","SQS output queue not defined","SQS output queue not defined",""
"passed","Fri Jan 20 13:08:14 GMT 2023","Fri Jan 20 13:08:14 GMT 2023","2","","Athena view resource data getter","","Athena view resource data getter","Athena view resource data getter with no `View`","Athena view resource data getter with no `View`",""
"passed","Fri Jan 20 13:08:19 GMT 2023","Fri Jan 20 13:08:19 GMT 2023","1","","Record sender tests","","Record sender tests","Record sender without callback error","Record sender without callback error",""
"passed","Fri Jan 20 13:08:13 GMT 2023","Fri Jan 20 13:08:13 GMT 2023","1","","Extract handler test","","Extract handler test","Extract handler with event record that has body that does not serialise to object","Extract handler with event record that has body that does not serialise to object",""
"passed","Fri Jan 20 13:08:17 GMT 2023","Fri Jan 20 13:08:17 GMT 2023","1","","Textract success handler","","Textract success handler","Textract success handler with S3 move error","Textract success handler with S3 move error",""
"passed","Fri Jan 20 13:08:13 GMT 2023","Fri Jan 20 13:08:13 GMT 2023","1","","src/handlers/clean/handler.test.ts","","src/handlers/clean/handler.test.ts","Clean handler with valid event record that has unwanted field","Clean handler with valid event record that has unwanted field",""
"passed","Fri Jan 20 13:08:14 GMT 2023","Fri Jan 20 13:08:14 GMT 2023","0","","Expense documents storer","","Expense documents storer","Expense documents storer with document fetch and failure handler errors","Expense documents storer with document fetch and failure handler errors",""
"passed","Fri Jan 20 13:08:14 GMT 2023","Fri Jan 20 13:08:14 GMT 2023","0","","Expense documents storer","","Expense documents storer","Expense documents storer with source file in failure folder","Expense documents storer with source file in failure folder",""
"passed","Fri Jan 20 13:08:15 GMT 2023","Fri Jan 20 13:08:15 GMT 2023","1","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message without valid document location","Queued expense analysis notification data getter with record body message without valid document location",""
